,0,1,2,3,4,5,6,7,8,9
C_count,0.013877250270214423,0.013069951676000752,0.00595283277213402,0.02663280430946587,0.02160648297962134,0.027705872167968243,0.04121506356415172,0.008943841923112834,0.15360592803363776,0.030283743942361403
N_count,0.04466267787422325,0.02740938293496064,0.02892591256028319,0.015223165435074197,0.025190120787452537,0.014992808192884937,0.010686970654030124,0.009191658987217988,0.04767560613470277,0.020037740612783916
O_count,0.005397532041769227,0.0014562373169232565,0.0014945308730611902,0.0015158220894516013,0.002052325895905056,0.0020791831258266005,0.007415934765187332,0.0005898617365263526,0.008054294249286088,0.0016077825791643414
F_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_count,0.00019120622117115756,0.0018716304435757774,0.00015768986576219254,0.00020316023467634558,0.0010528619690349256,0.007298582173227023,0.0005522586673699069,7.162305260661818e-19,0.01153668361352872,0.0009189562782609638
ALERTS,0.5393462344998452,0.0040595531009286374,0.011540345062839132,0.018607477607373375,0.004803861333320257,0.01631578663670536,0.021373204115874473,0.008529504045078176,0.02920228055224457,0.005101059774498327
CSP3,0.05963368897251465,0.18510729670259865,0.22765370128235585,0.06968383883297662,0.2775216156124858,0.5363453199852755,0.0799689089515726,0.23575935663536082,0.04318493992826463,0.3790033516394957
MinEStateIndex,0.06019900928475626,0.05839521740708825,0.02515534692060869,0.1404094196856341,0.02906339503128678,0.09886282326248699,0.14122218425020883,0.058183881403299886,0.3817946277923333,0.05828597563167593
MaxAbsEStateIndex,0.07865777816007921,0.05404273854098703,0.1839556164419001,0.5321404848446718,0.10085535691607801,0.09765569442309413,0.22420780796571488,0.07240228510342207,0.07848776426516464,0.1811662414809253
MinAbsEStateIndex,0.09203385825643055,0.04582545554986392,0.08331674274558529,0.41825394842765745,0.04288772125474338,0.12073583782157331,0.215663297525797,0.18323662704947521,0.09040018487635393,0.0612807129870078
qed,0.20867184207319364,0.35432814283612024,0.24324566631782604,0.2390183225581312,0.18250502099845195,0.26757737879041,0.2701953710095014,0.2088565490416404,0.11350772260548164,0.2255094401221356
MolWt,0.02379086761414333,0.005922786542088765,0.014283713071958705,0.014555484075446788,0.01754364844422832,0.0202438064585011,0.04631237258455466,0.020914475618741928,0.020422854403564557,0.01373921094326818
HeavyAtomMolWt,0.03265732366848751,0.015606879885279193,0.020770006010003512,0.04092526080358465,0.04406336950821928,0.0422377892804151,0.022217206546030363,0.023921353489728066,0.02054349336925222,0.01750344236340328
ExactMolWt,0.0226563690470062,0.014138055365496456,0.008880560132879146,0.03190492859797143,0.02707322590739537,0.03216181169286947,0.019804304758465775,0.02686155549545538,0.01696609648598693,0.05430765906285348
